agency,agency_name,total_requests,open_requests,closed_requests,backlog_rate,avg_resolution_hours,median_resolution_hours,pct_closed_within_24h,pct_closed_within_7d
TLC,Taxi and Limousine Commission,980,849,131,0.8663265306122448,66.46870229007634,71.4,0.024489795918367346,0.1336734693877551
DOT,Department of Transportation,7344,3294,4050,0.4485294117647059,29.501543581108166,15.65,0.36369825708061004,0.5634531590413944
EDC,Economic Development Corporation,161,161,0,1.0,,,0.0,0.0
HPD,Department of Housing Preservation and Development,13916,8970,4946,0.6445817763725208,64.99680212966712,52.59166666666667,0.06302098304110376,0.3449267030755964
OOS,Office of the Sheriff,100,94,6,0.94,122.11666666666667,133.88333333333333,0.0,0.06
DOHMH,Department of Health and Mental Hygiene,2422,1802,620,0.7440132122213047,68.457688172043,54.84166666666667,0.00990916597853014,0.24607762180016515
OTI,Office of Technology and Innovation,7,7,0,1.0,,,0.0,0.0
DSNY,Department of Sanitation,8290,2042,6248,0.24632086851628468,31.311553030302985,23.191666666666666,0.3903498190591074,0.752714113389626
DPR,Department of Parks and Recreation,9047,5642,3405,0.6236321432519067,41.231419481155115,28.483333333333334,0.15198408312147674,0.37482038244722005
DCWP,Department of Consumer and Worker Protection,648,413,235,0.6373456790123457,33.183971631205665,23.483333333333334,0.19290123456790123,0.3626543209876543
DEP,Department of Environmental Protection,6626,2180,4446,0.3290069423483248,20.452294197031016,2.65,0.4950196196800483,0.6697856927256263
NYPD,New York City Police Department,45900,559,45341,0.012178649237472767,2.9826665490420945,1.5,0.981525054466231,0.9878431372549019
DHS,Department of Homeless Services,1584,247,1337,0.15593434343434343,10.268299675891312,4.75,0.764520202020202,0.8428030303030303
DOB,Department of Buildings,2975,1710,1265,0.5747899159663865,20.680487394957975,0.0,0.7334453781512605,0.9909243697478992
